id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,MQPKPq,https://acme.dev/quiet/journey/1,Quarterly brief yard,True,2025-10-17 21:05:31,2026-02-12 03:33:40
2,385,xisUi1,https://seeded.app/tidy/delta/2,Quarterly brief beacon,True,2025-06-30 08:22:24,2026-01-19 13:38:29
3,161,3GWSlP,https://seeded.app/urban/network/3,Campaign page engine,True,2025-03-19 08:47:03,2025-10-05 13:17:16
4,373,7rneoP,https://opswise.net/tidy/canyon/4,Quarterly brief harvest,True,2026-02-02 08:29:29,2026-02-13 23:59:31
5,129,yCtLYY,https://relay.cloud/gold/kernel/5,Service guide valley,True,2025-08-30 17:58:30,2025-09-19 01:11:20
6,16,UAtb9H,https://seeded.app/harbor/garden/6,Campaign page kernel,True,2025-12-30 23:15:59,2026-01-31 18:54:04
7,183,t6QK8B,https://relay.cloud/jade/beacon/7,Incident notes beacon,False,2025-01-06 23:41:50,2025-02-16 05:11:31
8,196,rT50C6,https://hackstack.io/quiet/pioneer/8,Service guide river,True,2025-06-18 22:02:22,2026-01-09 23:09:09
9,345,2bHmGS,https://seeded.app/dawn/river/9,Demo link island,False,2025-11-09 15:15:44,2025-11-25 01:09:20
10,236,iWmea5,https://relay.cloud/opal/trail/10,Incident notes beacon,True,2025-11-04 00:15:07,2026-01-14 15:34:39
11,94,taxnvC,https://relay.cloud/calm/kernel/11,Launch deck lagoon,True,2026-01-01 13:44:52,2026-01-11 06:13:20
12,158,vpTTUI,https://example.com/jade/field/12,Roadmap update island,True,2025-05-06 21:05:34,2025-08-31 02:40:12
13,210,rQ06WR,https://example.com/warm/valley/13,Launch deck signal,False,2025-12-27 05:45:02,2026-01-04 21:21:11
14,117,Wvr4mc,https://acme.dev/cobalt/quartz/14,Campaign page orbit,True,2025-05-17 22:47:16,2026-02-13 20:38:08
15,309,UfoWTW,https://hackstack.io/gold/canyon/15,Ops review signal,True,2026-01-07 01:35:14,2026-02-15 22:12:21
16,397,D3IAk1,https://example.com/forest/engine/16,Campaign page island,False,2025-03-05 12:32:50,2025-09-24 23:30:39
17,369,GdNLLh,https://seeded.app/quiet/canyon/17,Alert feed lagoon,True,2025-05-21 01:48:44,2026-01-01 01:27:56
18,326,IKV6g3,https://relay.cloud/keen/delta/18,Incident notes yard,True,2025-01-24 00:21:09,2025-11-13 02:51:00
19,260,xApo7w,https://acme.dev/ivory/anchor/19,Incident notes canyon,True,2025-01-11 01:31:20,2025-12-11 06:59:30
20,189,65KK3L,https://acme.dev/young/canyon/20,Demo link river,True,2026-01-24 11:11:23,2026-01-26 20:41:33
21,217,bhxw6V,https://opswise.net/jade/journey/21,Ops review uplink,True,2025-04-08 14:12:40,2025-09-23 03:53:00
22,320,9gfShr,https://relay.cloud/mellow/zenith/22,Roadmap update network,False,2025-09-18 21:41:10,2026-01-09 13:41:44
23,337,M8vvpA,https://hackstack.io/harbor/garden/23,Incident notes orbit,False,2025-09-20 00:16:58,2025-12-10 02:07:30
24,34,bcZUHT,https://opswise.net/proud/quartz/24,Status board lagoon,False,2025-04-29 05:00:36,2025-11-29 11:55:03
25,220,yP7nth,https://relay.cloud/ivory/pioneer/25,Alert feed delta,True,2025-11-07 00:53:01,2025-12-14 19:15:13
26,206,yOUDAP,https://acme.dev/cobalt/engine/26,Ops review signal,False,2025-08-19 16:57:29,2025-09-21 08:47:25
27,96,HIrsol,https://relay.cloud/lively/meadow/27,Incident notes network,False,2025-01-15 14:54:15,2025-03-06 16:07:15
28,78,Oo9rD8,https://acme.dev/urban/harvest/28,Service guide delta,True,2026-02-19 08:27:48,2026-02-20 20:26:10
29,116,CLDvhh,https://hackstack.io/brisk/yard/29,Alert feed trail,True,2025-06-15 13:40:31,2026-01-03 13:45:29
30,52,MfPz1i,https://opswise.net/keen/window/30,Demo link journey,True,2025-09-27 18:12:11,2025-12-31 15:25:14
31,267,7tNyrD,https://acme.dev/harbor/anchor/31,Campaign page field,True,2025-05-13 11:16:10,2026-01-30 23:18:31
32,206,CViqCN,https://relay.cloud/ivory/uplink/32,Ops review window,True,2025-07-17 09:29:20,2025-12-28 05:32:20
33,119,Aioc7Y,https://example.com/keen/beacon/33,Service guide island,True,2025-07-04 03:03:17,2026-01-06 19:30:50
34,83,Prd3U5,https://seeded.app/navy/yard/34,Alert feed signal,True,2025-01-14 10:49:31,2025-06-06 07:55:55
35,288,NUvSlU,https://example.com/gold/journey/35,Alert feed signal,True,2026-02-16 16:21:31,2026-02-20 07:45:21
36,165,f7DFMW,https://relay.cloud/forest/engine/36,Roadmap update engine,True,2025-11-19 13:46:45,2026-01-15 07:07:51
37,119,yZW4Yj,https://opswise.net/urban/signal/37,Launch deck uplink,False,2025-12-02 04:49:59,2026-02-05 15:29:35
38,60,SMmDti,https://acme.dev/gold/beacon/38,Launch deck harvest,True,2025-02-14 10:30:21,2026-01-31 11:19:59
